LOCATION,Latitude,Longitude,Net_Sales
MIAMI INTERNATIONAL MALL,25.7845° N,80.3776° W,"$241,333.55"
WORLD TRADE CENTER OCULUS NYC,40.7115° N,74.0124° W,"$268,027.80"
MIRAGE Hotel Las vegas NV,36.1215° N,115.1739° W,"$257,153.48"
AVENTURA MIAMI florida,25.9568° N,80.1447° W,"$467,660.99"
HOUSTON GALLERIA houston texas,29.7394° N,95.4668° W,"$341,352.19"
MIRACLE MILE las vegas nv,36.1099° N,115.1719° W,"$361,579.75"
WORLD TRADE CENTER OCULUS Tree NYC,40.7115° N,74.0124° W,"$60,583.29"
FASHION SHOW las vegas nv,36.1276° N,115.1706° W,"$330,785.73"
MANDALAY BAY las vegas nv,36.0919° N,115.1750° W,"$677,517.06"
VENETIAN las vegas nv,36.1227° N,115.1707° W,"$685,495.27"
GRAND CENTRAL Jewelry NYC ,40.7527° N,73.9772° W,"$196,445.96"
GRAND CENTRAL tree NY,40.7527° N,73.9772° W,"$168,046.20"
